msisdn,tower_id,call_type,dest_nr,call_duration_sec,start_time
8438862403558,1568,voice,5722577736493,1477,2024-01-02 00:01:59.702520
3554431794880,455,voice,1777195643862,1513,2024-01-02 00:05:09.808429
7100313886989,43,video,6798740535754,200,2024-01-02 00:11:48.137358
2347875432350,43,voice,3546868653377,533,2024-01-02 00:02:24.914865
6075590783360,937,voice,7438571997912,1175,2024-01-02 00:03:32.540694
0252376781018,444,video,2630824790766,875,2024-01-02 00:12:39.245044
4130917058107,1086,voice,2600962855230,738,2024-01-02 00:15:47.565891
5111021971137,1167,video,8771993924759,136,2024-01-02 00:08:06.376518
3294140452271,907,voice,0873140199701,919,2024-01-02 00:10:03.338205
6496258193386,1804,voice,4067356848525,619,2024-01-02 00:01:30.747569
1788785117343,622,video,3930544384542,273,2024-01-02 00:08:03.440111
1522091691778,121,voice,6167610834811,959,2024-01-02 00:16:58.356377
3086651464573,1348,voice,1800328298631,259,2024-01-02 00:10:45.387934
4660249225324,1196,voice,2003258945600,1466,2024-01-02 00:03:02.372864
4995851464919,576,video,5353374715398,1514,2024-01-02 00:09:49.327393
3529649971475,1489,voice,3226738920722,1743,2024-01-02 00:07:24.737884
0996311981839,689,video,6271694387044,1013,2024-01-02 00:03:05.457953
5879516667785,1480,voice,2435499401957,818,2024-01-02 00:00:56.588127
7975824783231,990,voice,4294824224939,1336,2024-01-02 00:14:58.980901
4879950818950,1245,video,5810385715814,891,2024-01-02 00:04:23.569807
9442851173464,1900,voice,3905627544906,846,2024-01-02 00:15:27.985339
6384783306908,1980,video,7620254960726,1013,2024-01-02 00:11:55.838790
2715374578409,1661,voice,7674507322538,832,2024-01-02 00:10:38.633404
5914157433917,1268,voice,1140414422874,301,2024-01-02 00:06:45.986068
6205393741750,933,video,7161941762864,569,2024-01-02 00:12:31.918371
2125470301959,1730,video,8082359619878,1507,2024-01-02 00:01:37.230680
1823612500586,1239,voice,6223967661279,308,2024-01-02 00:13:47.327087
6988545678472,366,voice,9205327979653,711,2024-01-02 00:09:47.488966
8243092961114,1828,video,8555501380154,1225,2024-01-02 00:12:45.562865
9107478248868,510,video,1308367682789,761,2024-01-02 00:04:00.148667
7349711080626,224,video,3029877521868,1033,2024-01-02 00:03:03.591388
3783973888517,609,video,3494194258714,805,2024-01-02 00:06:36.507394
7415232243886,467,voice,5922373775771,1100,2024-01-02 00:13:55.025054
2923915243726,730,video,5684164301315,606,2024-01-02 00:15:20.290602
1928831899283,668,voice,5523185952107,1162,2024-01-02 00:14:40.706033
8074079573056,1898,video,8915446560127,1074,2024-01-02 00:07:50.455710
3752346588991,1722,voice,5987734490184,372,2024-01-02 00:05:01.722791
3110115187042,732,voice,5203313916743,1520,2024-01-02 00:02:58.903481
3057768215795,584,voice,1982717484304,767,2024-01-02 00:08:44.222622
1970611405745,130,voice,8782767526974,1133,2024-01-02 00:09:55.873366
4484391528391,997,voice,1809851573050,1267,2024-01-02 00:10:12.000427
0836373071391,819,voice,6072418043459,769,2024-01-02 00:12:45.448504
0250744962513,115,video,8755135048108,137,2024-01-02 00:14:12.178302
8755890620543,17,video,0236540575308,665,2024-01-02 00:12:34.034461
6507268562630,1575,video,6316614287825,1368,2024-01-02 00:01:28.771160
4149302124156,87,voice,1790880805326,291,2024-01-02 00:00:38.850552
9558202975802,16,video,7228521948468,616,2024-01-02 00:02:58.788644
2668033249730,946,voice,1707891127670,1331,2024-01-02 00:05:18.395619
6850626143677,1839,video,5792691328901,632,2024-01-02 00:06:17.643005
7112497129370,871,voice,4410446533272,1006,2024-01-02 00:08:41.620929
3780633248614,1427,video,3600492870413,840,2024-01-02 00:05:00.473461
3219056277896,1648,video,6957184482035,1524,2024-01-02 00:10:19.735631
3439321456541,226,voice,0034155803776,501,2024-01-02 00:11:55.440083
9453657052591,1162,voice,8642891859165,452,2024-01-02 00:12:36.277197
4432667521325,839,video,8567855589427,675,2024-01-02 00:01:51.856904
5039596716575,399,video,5165169280933,211,2024-01-02 00:10:58.750531
4745728490036,132,voice,1889118736210,650,2024-01-02 00:14:12.828499
1080648192925,1547,voice,5932322249897,1278,2024-01-02 00:16:39.463780
3126384997579,11,voice,7766654925209,1325,2024-01-02 00:08:11.442198
8942933514709,1993,voice,8056192403223,923,2024-01-02 00:12:57.737268
8147162442247,419,voice,5356209712012,898,2024-01-02 00:15:15.170195
7803975724651,765,video,6846745229558,632,2024-01-02 00:03:48.717059
8918314544022,463,voice,1394592434164,476,2024-01-02 00:14:06.516532
8871440895056,1009,voice,1649935725775,1503,2024-01-02 00:06:57.511960
1288215689858,1753,voice,9213372042094,651,2024-01-02 00:01:24.495541
4362021072103,217,video,0564717023185,215,2024-01-02 00:10:51.659439
4983856439897,1004,video,5140672314627,1422,2024-01-02 00:09:10.572251
8389978905950,1117,video,1993666344128,864,2024-01-02 00:15:37.782237
7370779204040,1899,voice,0011020096536,112,2024-01-02 00:05:56.351943
0270429148745,836,video,2282913280556,168,2024-01-02 00:14:04.603352
7889119274585,855,video,6445978731840,1233,2024-01-02 00:06:12.217566
8014871877582,1528,video,2364225281437,1041,2024-01-02 00:10:50.593690
1823196175155,1330,video,6315491084534,580,2024-01-02 00:10:30.072826
9577339584850,644,video,7827994116736,1571,2024-01-02 00:03:38.147744
4228713284211,1963,video,7182121689079,247,2024-01-02 00:16:31.039334
8807499027270,252,voice,3670806880926,1218,2024-01-02 00:13:00.158981
3600589701559,1971,video,4237313758479,565,2024-01-02 00:08:07.495214
3467032185839,325,voice,2115200533397,1233,2024-01-02 00:12:37.524713
1661293964304,1609,voice,8965483680458,1563,2024-01-02 00:02:45.594315
7833019204661,300,video,8629898070781,553,2024-01-02 00:02:41.109895
8300341575041,1952,video,4672017557307,1182,2024-01-02 00:07:59.418049
8115274782299,129,video,2170876290977,614,2024-01-02 00:10:20.504759
1541017122806,1204,voice,4621400407078,317,2024-01-02 00:11:20.434580
2625056209546,1573,video,5569426386867,1231,2024-01-02 00:07:17.871693
9829049295616,1242,voice,9314935745250,172,2024-01-02 00:02:46.897460
6449041651358,1712,video,2352772094344,259,2024-01-02 00:06:05.638125
9340345433806,1529,video,7292140601837,1496,2024-01-02 00:05:50.571765
3469255730544,1787,video,8343205239254,1235,2024-01-02 00:06:33.066334
8648468436734,503,video,9044910302923,870,2024-01-02 00:12:01.724294
0537281989015,1829,video,6813905373580,395,2024-01-02 00:11:39.098162
1132651777162,16,video,1750719060218,1401,2024-01-02 00:09:00.773400
8608129759469,1964,voice,0963396242912,1028,2024-01-02 00:11:35.745100
6722921611164,1342,video,8420655727210,1597,2024-01-02 00:13:12.868797
2676500831916,167,voice,5882093873487,40,2024-01-02 00:04:29.754920
1266038300869,506,video,5309719119709,1516,2024-01-02 00:10:06.382423
6348449893477,1295,video,3710665155703,1264,2024-01-02 00:07:38.244068
3412572670926,784,voice,2347780387215,33,2024-01-02 00:01:55.834388
3010350638271,169,video,6921415292390,1016,2024-01-02 00:00:44.697404
8717652535767,103,voice,9842800167503,893,2024-01-02 00:03:50.272488
9340719101234,772,video,0944228683232,1769,2024-01-02 00:02:47.124326
5358489460895,1870,video,0596513688276,861,2024-01-02 00:01:34.960555
7250125155286,73,video,7570065368104,828,2024-01-02 00:06:44.195686
0265690573407,1716,voice,0454530384598,1648,2024-01-02 00:11:23.104316
9375055042748,412,voice,9925002380477,948,2024-01-02 00:11:27.030096
2959718260470,575,voice,9257775189734,785,2024-01-02 00:06:21.801666
0661722434222,539,voice,0387970866864,167,2024-01-02 00:12:22.857109
1578785300882,994,video,4135479467971,819,2024-01-02 00:09:04.347634
6719991852089,32,voice,2215525588293,185,2024-01-02 00:15:27.648317
4122937970450,65,video,9749567276567,1662,2024-01-02 00:16:51.322902
4427566876644,564,video,1656988852207,1418,2024-01-02 00:01:33.185054
2593739232104,741,video,6524611706097,1337,2024-01-02 00:03:11.727937
6531876047594,1496,video,4242037545507,341,2024-01-02 00:10:43.374069
3342790275911,1441,video,1832515366731,1740,2024-01-02 00:06:49.859998
1132651777162,362,video,3821607983337,380,2024-01-02 00:04:24.994894
7735632323810,18,voice,2537812185782,133,2024-01-02 00:02:32.703936
7026937857623,1128,video,8602504777669,567,2024-01-02 00:10:11.014627
9866501597569,1185,video,8360918377935,1323,2024-01-02 00:09:50.908343
2736205909010,1631,video,3780786626289,48,2024-01-02 00:07:33.405541
0929528317792,1624,voice,1294871622979,243,2024-01-02 00:03:49.618150
3611690356689,37,voice,6924529754026,992,2024-01-02 00:11:30.982897
1827786740258,1730,video,4863295492761,1562,2024-01-02 00:16:33.907097
1245757958534,20,video,5263724457235,63,2024-01-02 00:03:26.010544
2806643608390,1426,video,7569087138807,1645,2024-01-02 00:00:32.082240
2740557312880,507,voice,1472713271330,1488,2024-01-02 00:08:17.267909
2973640453086,307,voice,2117310415593,196,2024-01-02 00:01:58.529238
2135441149446,1272,video,6278285963490,1566,2024-01-02 00:01:12.187312
6092531209186,1242,voice,2035035845633,1635,2024-01-02 00:08:11.299393
8439945603853,630,video,8450699355386,1113,2024-01-02 00:01:16.995105
7948840086669,166,video,3052344698760,1581,2024-01-02 00:02:25.429386
9296169672803,1913,video,9692980877192,1627,2024-01-02 00:09:20.839939
4067922993088,798,voice,7850161041622,792,2024-01-02 00:11:03.778226
7105800240811,906,video,2264236632220,846,2024-01-02 00:03:28.658976
9315942881172,459,video,0350293094812,1773,2024-01-02 00:01:19.309582
0831363636842,38,video,4655201521028,1038,2024-01-02 00:03:55.699152
5733853585168,1720,video,9477859935071,1365,2024-01-02 00:07:45.174853
1080648192925,519,voice,3468996434224,106,2024-01-02 00:07:06.538761
9028453862450,610,video,4729247207443,1007,2024-01-02 00:04:34.934633
3328212948474,1023,video,7101655347195,714,2024-01-02 00:05:03.363905
9161012794216,1708,video,9447527394718,692,2024-01-02 00:01:33.458190
6181401529126,503,video,5361301098579,1453,2024-01-02 00:03:34.256361
1749104698843,877,voice,3081028964038,660,2024-01-02 00:09:52.445467
9248088760212,1247,voice,4646382762504,1305,2024-01-02 00:15:56.578705
0873601836049,819,video,7718604773071,285,2024-01-02 00:02:33.142524
1268854065583,1001,video,6471048329745,543,2024-01-02 00:14:31.640001
1762623256576,840,voice,0807061402630,1536,2024-01-02 00:09:57.577655
5009393936325,1778,voice,4148251927930,1000,2024-01-02 00:12:22.014435
2865069064277,1564,video,4796371947745,244,2024-01-02 00:12:24.509150
5211789379009,267,video,4130327239968,1593,2024-01-02 00:02:33.072910
3335493865386,728,voice,8073570674797,648,2024-01-02 00:11:43.202515
6617770264112,1432,voice,2027680647427,1601,2024-01-02 00:13:06.872590
6474203803524,13,voice,0366947521647,1547,2024-01-02 00:11:33.968188
7569142629885,43,voice,1551527592657,715,2024-01-02 00:05:05.212409
9470008622417,436,voice,3998287197470,1331,2024-01-02 00:08:14.398005
3188161504484,1500,video,0095603010964,1108,2024-01-02 00:01:11.594830
0703364943906,755,voice,9672578440605,1289,2024-01-02 00:07:10.146302
3914528798588,1835,voice,3946404094857,487,2024-01-02 00:10:22.588540
2848450731762,12,voice,6165498952632,693,2024-01-02 00:04:37.414016
8341365049712,7,voice,5577405787908,489,2024-01-02 00:16:06.499605
4585278076052,216,video,6893515159539,999,2024-01-02 00:02:53.078903
8864506548740,809,voice,1128536136402,590,2024-01-02 00:14:47.654374
1566524481510,1133,video,7091874955849,1706,2024-01-02 00:06:02.282898
3496302837412,1503,voice,2212457103909,662,2024-01-02 00:05:53.120791
6676231933525,1575,video,7996063565115,1279,2024-01-02 00:09:38.762708
8194652142736,1433,voice,0930224652062,457,2024-01-02 00:14:54.048997
9371331647387,459,voice,2514225675837,1235,2024-01-02 00:01:46.608100
3908303840513,11,voice,8165373301759,1000,2024-01-02 00:00:50.554961
1175242570824,1413,voice,7281590571800,1511,2024-01-02 00:16:56.849783
2229274776947,752,voice,8420188673478,1626,2024-01-02 00:12:30.206399
4706370741666,586,video,8462200070186,1120,2024-01-02 00:01:03.081542
5050185832781,625,video,2063498103112,116,2024-01-02 00:07:43.380224
9146833333932,472,video,8529593144532,1430,2024-01-02 00:16:54.477870
7660770560044,1152,video,9519481977352,1277,2024-01-02 00:02:27.471673
8658717739476,207,video,2222683316551,473,2024-01-02 00:01:10.475832
5300186090863,1930,voice,2811741639084,799,2024-01-02 00:05:29.127481
4287806501058,149,video,7269780207355,72,2024-01-02 00:03:37.012750
0641132474220,1947,video,4600881186016,780,2024-01-02 00:02:47.874362
8407475526752,140,video,7498052217707,1277,2024-01-02 00:04:52.837371
6945028960522,983,voice,1482540630152,292,2024-01-02 00:06:20.778175
7060336458160,629,voice,6042648258601,1404,2024-01-02 00:01:47.562437
4707444185944,1814,video,8525256968951,1067,2024-01-02 00:02:53.199674
8974261437434,191,video,7839125338788,555,2024-01-02 00:07:16.560363
8764892642276,1313,voice,1970131383248,441,2024-01-02 00:10:46.843081
8490774218221,769,voice,1688362812456,1359,2024-01-02 00:04:25.762037
6835130140693,610,voice,4176430253447,958,2024-01-02 00:01:15.889489
0634582355347,55,video,3615411220632,1658,2024-01-02 00:01:42.033962
6916339127199,889,voice,9443576571001,1512,2024-01-02 00:09:24.841724
2446437261782,1620,video,9421792031122,547,2024-01-02 00:03:20.666073
8224570532969,1904,video,1883672356011,420,2024-01-02 00:08:52.509960
7173963000750,1717,voice,7653118702615,302,2024-01-02 00:16:11.974191
9195756743725,857,video,9232468436878,1227,2024-01-02 00:15:25.066040
8799736823037,521,video,5220125672252,807,2024-01-02 00:11:53.077667
3966520162681,1248,voice,1419668879178,190,2024-01-02 00:06:56.685478
3812589148885,749,video,8009095154972,158,2024-01-02 00:11:59.453757
2197671319613,461,video,7012691384118,1748,2024-01-02 00:04:41.254412
3438408175328,281,video,0327031614457,1702,2024-01-02 00:06:10.865261
1146641813762,244,voice,7007796063665,926,2024-01-02 00:15:53.237165
6268480013212,1581,voice,3116547841149,1387,2024-01-02 00:07:59.896039
7472615353108,990,video,1996010873640,1408,2024-01-02 00:05:04.485658
9363109370469,27,voice,6813724709746,1461,2024-01-02 00:03:35.872630
1196800308312,426,voice,1138613338560,101,2024-01-02 00:10:02.368350
0667590113728,947,video,1128441321207,999,2024-01-02 00:07:36.496549
7174039876018,1041,video,0451380466641,208,2024-01-02 00:02:29.312579
0597582200793,522,voice,3805329640183,1707,2024-01-02 00:09:42.488647
4851496121159,1897,voice,7463171552232,1680,2024-01-02 00:15:36.869349
0864094716080,1253,voice,0174547510467,512,2024-01-02 00:02:49.563642
4386065201685,815,voice,2571655781709,1692,2024-01-02 00:01:58.179868
8433088175513,310,video,6387879873019,934,2024-01-02 00:09:12.998687
5492642090788,260,voice,6347234456812,340,2024-01-02 00:05:56.785625
7739323901825,790,voice,4139433375046,659,2024-01-02 00:16:01.614962
6554292566383,1123,voice,0098808622463,495,2024-01-02 00:06:58.623809
0144973364086,344,video,7422940544776,753,2024-01-02 00:01:42.855808
3900035677907,668,video,7580036285068,543,2024-01-02 00:09:17.556929
2982934739485,1361,video,4587445539122,7,2024-01-02 00:01:39.341574
7311020763042,1444,video,5783806609203,683,2024-01-02 00:10:10.221745
1914785195569,386,video,5440546207232,1302,2024-01-02 00:13:11.948737
1437203882556,368,voice,1865825058792,1702,2024-01-02 00:03:33.413551
7547414837579,623,video,2309255063260,352,2024-01-02 00:16:42.275730
8441829818786,1080,video,3148958772659,1085,2024-01-02 00:07:05.619326
7391265747667,1905,voice,3485533690712,1413,2024-01-02 00:01:24.124955
8692326713602,85,video,2782569850668,1495,2024-01-02 00:03:19.586391
8029394392607,564,video,0657296692590,1686,2024-01-02 00:15:52.949920
5081655593237,1524,voice,5219404556506,1703,2024-01-02 00:02:30.753119
1699876686612,1577,voice,7318779941303,337,2024-01-02 00:10:42.408931
2317507901786,1152,voice,2944231619787,786,2024-01-02 00:03:38.847879
9627405446220,1295,voice,0163155491211,488,2024-01-02 00:00:37.268553
9215341098785,1563,voice,5677393318368,8,2024-01-02 00:07:33.689352
5411704924742,318,video,5410608733073,1701,2024-01-02 00:07:38.602407
9617837697073,991,video,0765261047647,712,2024-01-02 00:07:51.252616
0324615113136,648,voice,2799728793515,498,2024-01-02 00:15:59.956526
8484400064904,1746,video,3622837832679,671,2024-01-02 00:01:30.181260
2784115217994,1446,voice,3817353979281,590,2024-01-02 00:03:15.695051
8620966579639,1810,video,1038970466307,160,2024-01-02 00:12:11.382189
6531876047594,1926,voice,7833234115477,700,2024-01-02 00:01:04.212527
5793609753752,726,video,7156072794327,5,2024-01-02 00:16:52.593890
0705541592640,892,voice,6542460156648,1624,2024-01-02 00:07:24.464476
4253635834852,1234,voice,4260357268986,1323,2024-01-02 00:01:59.438777
2368106064776,896,voice,6551662321820,1134,2024-01-02 00:10:54.095562
9272546901677,223,video,4869105987102,1272,2024-01-02 00:12:59.785477
6722213504110,1880,video,9162188859346,704,2024-01-02 00:06:15.003425
6508302476995,1428,video,3083809759766,105,2024-01-02 00:09:07.313628
2517259795417,916,video,1164957758921,1091,2024-01-02 00:07:01.730355
5275336478617,678,voice,0834687156543,1028,2024-01-02 00:15:31.231400
4419165063853,294,voice,2952411433087,1765,2024-01-02 00:16:08.336540
6808423054485,1569,voice,6694690109262,933,2024-01-02 00:13:18.560849
6627865599849,693,video,4881056722081,332,2024-01-02 00:07:59.554807
3327935335559,679,video,7915341065559,1102,2024-01-02 00:16:43.455276
4098027527603,1553,voice,7103916039636,165,2024-01-02 00:01:53.978560
3375228716541,986,voice,0030401634086,1380,2024-01-02 00:17:03.036952
0545784547250,853,video,1889383279970,698,2024-01-02 00:06:27.174446
4703690667437,450,video,4354304968353,605,2024-01-02 00:07:31.327253
3069460452625,1231,video,7931844571380,729,2024-01-02 00:15:31.621974
2032742301344,1389,voice,2346870859976,824,2024-01-02 00:00:37.742876
9344217893292,399,video,9957739977641,101,2024-01-02 00:10:50.732525
5071824006856,1921,voice,4496415263676,809,2024-01-02 00:13:55.775473
8520918392064,1534,video,0083328468436,1097,2024-01-02 00:08:08.065474
1234339085050,1184,voice,6078442401946,1422,2024-01-02 00:04:32.776419
5517132240222,1408,voice,5460715588479,1473,2024-01-02 00:11:46.052918
7912270121366,764,video,4800166323185,715,2024-01-02 00:10:53.392553
4229504844132,1019,voice,6387818057202,1298,2024-01-02 00:03:12.559204
8172580109090,1096,voice,2339220520953,35,2024-01-02 00:05:22.093846
6756273381170,131,voice,0199587310149,32,2024-01-02 00:15:03.018531
9431435380349,166,voice,2618531442826,526,2024-01-02 00:12:30.327392
4674736761602,501,video,7268156143252,1250,2024-01-02 00:11:30.679338
7979121136401,1097,video,5638658698384,878,2024-01-02 00:08:31.894873
4933210708347,427,video,2386699127365,1318,2024-01-02 00:10:38.592688
0108604086651,1859,video,4663899157219,1535,2024-01-02 00:03:22.152349
2226899434620,294,voice,9561004524646,368,2024-01-02 00:11:19.527878
3867275022958,1576,voice,0418618320580,480,2024-01-02 00:01:02.885194
3192481329727,1476,video,1655629651469,887,2024-01-02 00:06:55.478079
9096225480790,1981,video,5436263311581,1047,2024-01-02 00:10:23.025786
3342370752016,1287,video,2985376715380,1280,2024-01-02 00:01:47.501401
6477406367290,991,voice,2555957934172,1673,2024-01-02 00:05:01.685976
1516177035047,844,video,8452056087099,1655,2024-01-02 00:11:28.539733
7045603139732,1453,voice,8885809810906,1304,2024-01-02 00:02:02.751731
6676379537071,1387,voice,1125948937313,1712,2024-01-02 00:00:46.622212
6054176453693,531,video,7677062657903,1423,2024-01-02 00:13:16.792406
0308045123716,140,video,6155140991927,534,2024-01-02 00:03:47.485483
1363038085886,883,video,7738689790993,1659,2024-01-02 00:07:29.244004
4764946909598,1023,video,6152794827144,1761,2024-01-02 00:02:55.218670
9772050079469,692,voice,8361417592051,47,2024-01-02 00:01:37.083954
5073238827462,885,voice,0791325329290,78,2024-01-02 00:17:11.851293
6995598515579,750,video,9600355497324,951,2024-01-02 00:00:33.162518
6002489338979,1262,voice,7386445004218,431,2024-01-02 00:01:55.207884
3255182941523,1247,voice,5037776309408,738,2024-01-02 00:04:30.844947
2252067023373,824,voice,2098165192484,234,2024-01-02 00:06:19.296365
3776143689265,42,video,6053183376109,360,2024-01-02 00:06:39.779512
9316650958051,1078,voice,8687969782121,1279,2024-01-02 00:02:50.285784
5035859636734,104,voice,6900702596276,46,2024-01-02 00:14:21.975601
8668251234654,400,voice,9912534216955,1230,2024-01-02 00:11:23.100707
8150694910735,995,voice,0247075164741,203,2024-01-02 00:02:47.510601
2871971556221,1073,video,5465646789532,837,2024-01-02 00:15:06.057756
4922288468866,796,video,4142473172147,982,2024-01-02 00:05:01.589121
8664013814711,277,voice,1295372856528,1787,2024-01-02 00:15:22.858284
4743985255199,1811,voice,4892790759109,1081,2024-01-02 00:05:45.399776
4086800759875,1565,voice,9877513314072,1099,2024-01-02 00:15:29.942953
3012712207504,1581,voice,7464932479408,881,2024-01-02 00:10:29.883930
3398678873800,1011,voice,7407202952312,760,2024-01-02 00:04:27.547794
1204548787218,1423,voice,5195446818604,826,2024-01-02 00:02:54.967209
0583620519010,1366,voice,9332015847163,651,2024-01-02 00:04:29.805235
0414716448282,622,voice,1080071931665,315,2024-01-02 00:06:18.270727
7481269065380,984,video,7511246127106,514,2024-01-02 00:10:29.070545
2077096569303,189,voice,3733436617259,243,2024-01-02 00:13:30.334147
1754727763311,1870,video,3500435233394,1251,2024-01-02 00:15:04.755410
9769389243226,619,voice,7616055759478,1147,2024-01-02 00:17:05.851336
9048079995779,1329,video,3438204449159,1726,2024-01-02 00:16:02.294326
5510989945233,332,video,8690191932916,33,2024-01-02 00:14:11.326432
0618529053519,1221,voice,5645667635614,1508,2024-01-02 00:05:17.075241
1192959927057,589,video,2634897214779,441,2024-01-02 00:10:35.850897
4829227964227,431,video,7775494036278,216,2024-01-02 00:13:30.465211
9605366485097,1304,video,4625107093589,352,2024-01-02 00:03:25.027617
2058744122280,1027,video,6310289603632,640,2024-01-02 00:06:02.899509
0636921252716,1354,video,1786702984152,1573,2024-01-02 00:00:43.282271
1013283765945,281,voice,8732342602055,693,2024-01-02 00:03:11.136674
9023201904303,985,video,3504432895516,1605,2024-01-02 00:04:54.289255
6716806151196,1989,video,9227985402343,822,2024-01-02 00:11:32.637502
1827432939538,1301,video,8004621673634,545,2024-01-02 00:07:23.171151
4863750204108,318,video,2910550403575,860,2024-01-02 00:05:54.731928
7626184200909,1962,video,9924529740031,1538,2024-01-02 00:01:24.497461
2509731380573,1815,video,0195914659957,1474,2024-01-02 00:09:13.139586
9994602927893,1553,video,8718628385756,1374,2024-01-02 00:10:47.986495
7124068757189,788,video,4085325834713,1063,2024-01-02 00:03:08.592276
4707207349860,1602,video,2074095744906,831,2024-01-02 00:10:51.738225
3560527385809,1389,video,4410521598024,903,2024-01-02 00:02:25.352646
7063965034163,1242,voice,2401391726024,1057,2024-01-02 00:11:39.625157
5632053991492,647,video,5516447885005,1285,2024-01-02 00:04:42.165174
5241365659467,1401,video,3455936058149,442,2024-01-02 00:05:03.438053
0697848910945,539,voice,1453573055710,852,2024-01-02 00:17:06.318739
3751563337732,1822,video,6891209732489,605,2024-01-02 00:13:52.173736
3754886646482,896,video,7243193065522,345,2024-01-02 00:11:26.014984
0030232816335,704,video,3950641914217,1550,2024-01-02 00:02:33.613330
0069953892525,409,voice,1970531305809,945,2024-01-02 00:03:31.418483
8273619919242,843,voice,0522845083773,991,2024-01-02 00:11:02.102974
9676407118695,76,video,1910525704887,1503,2024-01-02 00:11:01.861413
8224127218539,1039,voice,2343644861665,1549,2024-01-02 00:07:38.893281
4537939882784,307,video,8924842432391,82,2024-01-02 00:00:53.233109
1051239337698,630,video,2492589707421,334,2024-01-02 00:02:05.183130
0446931640045,1547,voice,1309631308321,104,2024-01-02 00:08:47.395278
9277081927698,204,voice,2372273785253,428,2024-01-02 00:05:07.920499
8050904256718,1131,voice,8106369469930,1370,2024-01-02 00:06:00.493603
9823201539887,397,video,4618194612153,57,2024-01-02 00:02:04.200683
9639601258322,176,video,0135713761886,474,2024-01-02 00:11:32.641239
9999765799768,846,voice,1947727924263,1394,2024-01-02 00:01:56.617124
7360454132580,1526,voice,5765319607716,908,2024-01-02 00:16:55.163284
1559352136082,894,video,5281370883951,1140,2024-01-02 00:08:15.303229
9661858987354,641,voice,2806094619310,1200,2024-01-02 00:17:08.224745
6987786909321,1309,voice,5360231371423,123,2024-01-02 00:11:22.710504
5910558667040,466,video,6080131736907,393,2024-01-02 00:16:43.967773
